2026-07-31 18:27:17,852 | INFO | aiforge.plugins.manager | PluginManager: Discovered and loaded installed plugins into active registry.
2026-07-31 18:27:18,386 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:27:18,440 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:27:18,506 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:27:18,544 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:27:18,596 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:27:18,641 | INFO | aiforge.workspace | WorkspaceStateManager: Active project set to 'proj_ecommerce'
2026-07-31 18:27:18,693 | WARNING | aiforge.project_manager | Logged backlog bug: 'CORS wildcard config' (Severity: High)
2026-07-31 18:27:18,693 | INFO | aiforge.project_manager | Recorded SRE ADR decision: 'Auth Mechanism' -> JWT Stateless Tokens (Accepted)
2026-07-31 18:27:18,862 | INFO | aiforge.communication.events | EventDispatcher: [TASK_ASSIGNED] Published by 'Planner Agent'
2026-07-31 18:27:18,862 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502638861_05ca' from 'Planner Agent' to 'Architect Agent'
2026-07-31 18:27:18,863 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Architect Agent'
2026-07-31 18:27:18,863 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502638861_1710' from 'Architect Agent' to 'Frontend Agent'
2026-07-31 18:27:18,863 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Backend Agent'
2026-07-31 18:27:18,864 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502638862_4910' from 'Backend Agent' to 'Database Agent'
2026-07-31 18:27:18,864 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Testing Agent'
2026-07-31 18:27:18,864 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502638862_80be' from 'Testing Agent' to 'Backend Agent'
2026-07-31 18:27:18,865 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Reviewer Agent'
2026-07-31 18:27:18,865 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502638862_4e77' from 'Reviewer Agent' to 'Frontend Agent'
2026-07-31 18:27:20,761 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:27:25,812 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:27:30,863 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:27:35,907 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:27:40,950 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:27:46,002 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:27:51,088 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:27:56,138 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:28:01,185 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:28:06,237 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:28:11,285 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:28:16,354 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:28:21,411 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:28:26,469 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:28:31,528 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:28:36,583 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:28:41,644 | INFO | aiforge.sre | SRE loop step completed. Health score: 100/100
2026-07-31 18:28:58,698 | INFO | sentence_transformers.base.model | No device provided, using cpu
2026-07-31 18:28:59,091 | WARNING | huggingface_hub.utils._http | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-07-31 18:28:59,340 | INFO | sentence_transformers.base.model | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-07-31 18:29:03,718 | INFO | aiforge.rag.embeddings | Initialized SentenceTransformer embedding model: 'all-MiniLM-L6-v2'
2026-07-31 18:29:04,580 | INFO | aiforge.rag.vector_store | Initialized ChromaDB collection: 'aiforge_knowledge'
2026-07-31 18:29:04,583 | INFO | aiforge.rag.loader | Loaded 5 document(s) from 'C:\Users\Shashank\OneDrive\Documents\CODEFORGE AI\backend\data\docs'
2026-07-31 18:29:04,583 | INFO | aiforge.rag.splitter | Split 5 document(s) into 5 chunk(s)
2026-07-31 18:29:04,843 | INFO | aiforge.rag.vector_store | VectorStore added 5 chunk(s) to 'aiforge_knowledge'
2026-07-31 18:29:04,843 | INFO | aiforge.rag.knowledge_base | KnowledgeBase successfully indexed 5 docs (5 chunks)
2026-07-31 18:29:04,867 | INFO | aiforge.rag.vectordb | Initialized persistent ChromaDB collection 'project_documents' at 'C:\Users\Shashank\OneDrive\Documents\CODEFORGE AI\backend\vector_store'
2026-07-31 18:29:04,870 | INFO | sentence_transformers.base.model | No device provided, using cpu
2026-07-31 18:29:05,679 | INFO | sentence_transformers.base.model | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-07-31 18:29:12,389 | INFO | aiforge.rag.embeddings | Initialized SentenceTransformer embedding model: 'all-MiniLM-L6-v2'
2026-07-31 18:29:12,421 | INFO | aiforge.graph.workflow | Compiled LangGraph Autonomous Software Engineering Company Workflow Graph successfully.
2026-07-31 18:29:14,737 | INFO | aiforge.plugins.manager | PluginManager: Discovered and loaded installed plugins into active registry.
2026-07-31 18:29:15,282 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:29:15,359 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:29:15,438 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:29:15,509 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:29:15,578 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:29:15,600 | INFO | aiforge.workspace | WorkspaceStateManager: Active project set to 'proj_ecommerce'
2026-07-31 18:29:15,626 | WARNING | aiforge.project_manager | Logged backlog bug: 'CORS wildcard config' (Severity: High)
2026-07-31 18:29:15,626 | INFO | aiforge.project_manager | Recorded SRE ADR decision: 'Auth Mechanism' -> JWT Stateless Tokens (Accepted)
2026-07-31 18:29:15,852 | INFO | aiforge.communication.events | EventDispatcher: [TASK_ASSIGNED] Published by 'Planner Agent'
2026-07-31 18:29:15,852 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502755851_8c44' from 'Planner Agent' to 'Architect Agent'
2026-07-31 18:29:15,853 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Architect Agent'
2026-07-31 18:29:15,854 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502755851_24c5' from 'Architect Agent' to 'Frontend Agent'
2026-07-31 18:29:15,854 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Backend Agent'
2026-07-31 18:29:15,855 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502755851_7f07' from 'Backend Agent' to 'Database Agent'
2026-07-31 18:29:15,856 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Testing Agent'
2026-07-31 18:29:15,856 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502755851_e0ad' from 'Testing Agent' to 'Backend Agent'
2026-07-31 18:29:15,857 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Reviewer Agent'
2026-07-31 18:29:15,857 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502755851_dfd9' from 'Reviewer Agent' to 'Frontend Agent'
2026-07-31 18:29:16,536 | INFO | aiforge.sre | SRE background task scheduler started successfully.
2026-07-31 18:29:29,262 | INFO | sentence_transformers.base.model | No device provided, using cpu
2026-07-31 18:29:29,807 | WARNING | huggingface_hub.utils._http | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-07-31 18:29:30,067 | INFO | sentence_transformers.base.model | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-07-31 18:29:34,558 | INFO | aiforge.rag.embeddings | Initialized SentenceTransformer embedding model: 'all-MiniLM-L6-v2'
2026-07-31 18:29:35,241 | INFO | aiforge.rag.vector_store | Initialized ChromaDB collection: 'aiforge_knowledge'
2026-07-31 18:29:35,243 | INFO | aiforge.rag.loader | Loaded 5 document(s) from 'C:\Users\Shashank\OneDrive\Documents\CODEFORGE AI\backend\data\docs'
2026-07-31 18:29:35,243 | INFO | aiforge.rag.splitter | Split 5 document(s) into 5 chunk(s)
2026-07-31 18:29:35,543 | INFO | aiforge.rag.vector_store | VectorStore added 5 chunk(s) to 'aiforge_knowledge'
2026-07-31 18:29:35,543 | INFO | aiforge.rag.knowledge_base | KnowledgeBase successfully indexed 5 docs (5 chunks)
2026-07-31 18:29:35,570 | INFO | aiforge.rag.vectordb | Initialized persistent ChromaDB collection 'project_documents' at 'C:\Users\Shashank\OneDrive\Documents\CODEFORGE AI\backend\vector_store'
2026-07-31 18:29:35,572 | INFO | sentence_transformers.base.model | No device provided, using cpu
2026-07-31 18:29:36,062 | INFO | sentence_transformers.base.model | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-07-31 18:29:40,522 | INFO | aiforge.rag.embeddings | Initialized SentenceTransformer embedding model: 'all-MiniLM-L6-v2'
2026-07-31 18:29:40,596 | INFO | aiforge.graph.workflow | Compiled LangGraph Autonomous Software Engineering Company Workflow Graph successfully.
2026-07-31 18:29:43,256 | INFO | aiforge.plugins.manager | PluginManager: Discovered and loaded installed plugins into active registry.
2026-07-31 18:29:43,727 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:29:43,758 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:29:43,795 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:29:43,828 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:29:43,861 | INFO | aiforge.graph | GraphMemory: Loaded graph with 5593 nodes, 10170 edges.
2026-07-31 18:29:43,876 | INFO | aiforge.workspace | WorkspaceStateManager: Active project set to 'proj_ecommerce'
2026-07-31 18:29:43,895 | WARNING | aiforge.project_manager | Logged backlog bug: 'CORS wildcard config' (Severity: High)
2026-07-31 18:29:43,895 | INFO | aiforge.project_manager | Recorded SRE ADR decision: 'Auth Mechanism' -> JWT Stateless Tokens (Accepted)
2026-07-31 18:29:44,001 | INFO | aiforge.communication.events | EventDispatcher: [TASK_ASSIGNED] Published by 'Planner Agent'
2026-07-31 18:29:44,001 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502784000_c92f' from 'Planner Agent' to 'Architect Agent'
2026-07-31 18:29:44,001 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Architect Agent'
2026-07-31 18:29:44,002 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502784000_484b' from 'Architect Agent' to 'Frontend Agent'
2026-07-31 18:29:44,003 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Backend Agent'
2026-07-31 18:29:44,004 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502784000_62a9' from 'Backend Agent' to 'Database Agent'
2026-07-31 18:29:44,005 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Testing Agent'
2026-07-31 18:29:44,005 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502784000_9dd0' from 'Testing Agent' to 'Backend Agent'
2026-07-31 18:29:44,006 | INFO | aiforge.communication.events | EventDispatcher: [TASK_COMPLETED] Published by 'Reviewer Agent'
2026-07-31 18:29:44,006 | INFO | aiforge.communication.bus | MessageBus: Routed message 'msg_1785502784000_7072' from 'Reviewer Agent' to 'Frontend Agent'
2026-07-31 18:29:45,178 | INFO | aiforge.sre | SRE background task scheduler started successfully.
2026-07-31 18:29:57,485 | INFO | sentence_transformers.base.model | No device provided, using cpu
2026-07-31 18:29:58,183 | WARNING | huggingface_hub.utils._http | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-07-31 18:29:58,199 | INFO | sentence_transformers.base.model | Loading SentenceTransformer model from sentence-transformers/all-MiniLM-L6-v2.
2026-07-31 18:30:02,672 | INFO | aiforge.rag.embeddings | Initialized SentenceTransformer embedding model: 'all-MiniLM-L6-v2'
2026-07-31 18:30:03,276 | INFO | aiforge.rag.vector_store | Initialized ChromaDB collection: 'aiforge_knowledge'
2026-07-31 18:30:03,278 | INFO | aiforge.rag.loader | Loaded 5 document(s) from 'C:\Users\Shashank\OneDrive\Documents\CODEFORGE AI\backend\data\docs'
2026-07-31 18:30:03,278 | INFO | aiforge.rag.splitter | Split 5 document(s) into 5 chunk(s)
2026-07-31 18:30:03,557 | INFO | aiforge.rag.vector_store | VectorStore added 5 chunk(s) to 'aiforge_knowledge'
2026-07-31 18:30:03,558 | INFO | aiforge.rag.knowledge_base | KnowledgeBase successfully indexed 5 docs (5 chunks)
2026-07-31 18:30:03,582 | INFO | aiforge.rag.vectordb | Initialized persistent ChromaDB collection 'project_documents' at 'C:\Users\Shashank\OneDrive\Documents\CODEFORGE AI\backend\vector_store'
2026-07-31 18:30:03,583 | INFO | sentence_transformers.base.model | No device provided, using cpu
